name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,socket,purpose,performance_score
AMD Ryzen 5 5600X,168.99,6,3.7,4.6,65,None,True,AM4,Gaming,36.66180758017493
AMD Ryzen 7 5800X,228.72,8,3.8,4.7,105,None,True,AM4,Gaming,27.592276802904454
Intel Core i7-13700K,381.99,16,3.4,5.4,125,Intel UHD Graphics 770,True,LGA1700,Gaming,38.560322088018886
Intel Core i9-13900K,568.99,24,3.0,5.8,125,Intel UHD Graphics 770,True,LGA1700,Gaming,53.67902262945994
AMD Ryzen 7 7800X3D,439.0,8,4.2,5.0,120,Radeon,True,AM4,Gaming,24.887357540418765
Intel Core i5-13600K,308.95,14,3.5,5.1,125,Intel UHD Graphics 770,True,LGA1700,Gaming,34.62793280577537
AMD Ryzen 5 5600,138.0,6,3.5,4.4,65,None,True,AM4,Office,35.932944606414
Intel Core i5-12400F,149.97,6,2.5,4.4,65,None,True,LGA1700,Office,33.74635568513119
AMD Ryzen 7 7700X,299.0,8,4.5,5.4,105,Radeon,True,AM4,Gaming,29.180648000440065
AMD Ryzen 5 7600X,229.0,6,4.7,5.3,105,Radeon,True,AM4,Gaming,24.823972715770946
AMD Ryzen 7 5800X3D,329.99,8,3.4,4.5,105,None,True,AM4,Gaming,26.866164255459598
Intel Core i7-12700K,241.99,12,3.6,5.0,125,Intel UHD Graphics 770,True,LGA1700,Gaming,30.8482576704151
AMD Ryzen 5 7600,212.52,6,3.8,5.1,65,Radeon,True,AM4,Gaming,37.609329446064145
AMD Ryzen 5 5500,99.0,6,3.6,4.2,65,None,True,AM4,Office,35.86005830903791
AMD Ryzen 5 3600,104.99,6,3.6,4.2,65,None,True,AM4,Office,35.86005830903791
AMD Ryzen 7 5700X,178.0,8,3.4,4.6,65,None,True,AM4,Gaming,43.29446064139941
Intel Core i5-12600K,189.99,10,3.7,4.9,125,Intel UHD Graphics 770,True,LGA1700,Gaming,27.068582535054837
AMD Ryzen 5 5600G,139.0,6,3.9,4.4,65,Radeon Vega 7,True,AM4,Office,36.80758017492711
Intel Core i5-13400F,208.98,10,2.5,4.6,65,None,True,LGA1700,Gaming,48.61516034985423
AMD Ryzen 9 7900X,419.99,12,4.7,5.6,170,Radeon,True,AM4,Gaming,23.99621502736433
AMD Ryzen 9 5900X,349.0,12,3.7,4.8,105,None,True,AM4,Gaming,36.623301611749824
Intel Core i3-12100F,88.12,4,3.3,4.3,58,None,True,LGA1700,Office,31.39052231061916
Intel Core i5-13600KF,289.99,14,3.5,5.1,125,None,True,LGA1700,Gaming,34.62793280577537
AMD Ryzen 9 7950X3D,557.0,16,4.2,5.7,120,Radeon,True,AM4,Gaming,41.34640869334746
AMD Ryzen 7 5700G,165.94,8,3.8,4.6,65,Radeon Vega 8,True,AM4,Gaming,44.16909620991254
AMD Ryzen 9 7950X,581.74,16,4.5,5.7,170,Radeon,True,AM4,Gaming,29.509999488517213
Intel Core i9-12900K,344.99,16,3.2,5.2,125,Intel UHD Graphics 770,True,LGA1700,Gaming,38.17853672081077
AMD Ryzen 5 4500,78.2,6,3.6,4.1,65,None,True,AM4,Office,35.714285714285715
Intel Core i7-13700KF,382.84,16,3.4,5.4,125,None,True,LGA1700,Gaming,38.560322088018886
Intel Core i5-13500,247.98,14,2.5,4.8,65,Intel UHD Graphics 770,True,LGA1700,Gaming,63.48396501457726
AMD Ryzen 7 7700,296.31,8,3.6,5.3,65,Radeon,True,AM4,Gaming,44.75218658892129
Intel Core i5-10400F,114.64,6,2.9,4.3,65,None,True,LGA1200,Office,34.475218658892125
AMD Ryzen 7 3700X,239.0,8,3.6,4.4,65,None,True,AM4,Office,43.440233236151606
Intel Core i3-13100F,118.99,4,3.4,4.5,58,None,True,LGA1700,Office,31.961259079903144
AMD Threadripper 3990X,4483.0,64,2.9,4.3,280,None,True,sTRX4,Design,57.743066723384835
Intel Core i7-12700KF,219.99,12,3.6,5.0,125,None,True,LGA1700,Gaming,30.8482576704151
AMD Ryzen 9 5950X,390.0,16,3.4,4.9,105,None,True,AM4,Gaming,45.38203421530337
Intel Core i9-13900KF,535.99,24,3.0,5.8,125,None,True,LGA1700,Gaming,53.67902262945994
AMD Ryzen 5 4600G,104.0,6,3.7,4.2,65,Radeon Vega 7,True,AM4,Office,36.07871720116619
Intel Core i3-10100F,75.83,4,3.6,4.3,65,None,True,LGA1200,Office,28.717201166180757
Intel Core i5-12400,172.99,6,2.5,4.4,65,Intel UHD Graphics 730,True,LGA1700,Office,33.74635568513119
Intel Core i5-13400,228.0,10,2.5,4.6,65,Intel UHD Graphics 730,True,LGA1700,Gaming,48.61516034985423
AMD Ryzen 3 4100,63.96,4,3.8,4.0,65,None,True,AM4,Office,28.717201166180757
AMD Ryzen 9 7900,391.31,12,3.6,5.4,65,Radeon,True,AM4,Gaming,59.47521865889213
Intel Core i5-12600KF,219.0,10,3.7,4.9,125,None,True,LGA1700,Gaming,27.068582535054837
Intel Core i5-11400F,130.97,6,2.6,4.4,65,None,True,LGA1700,Office,33.96501457725948
AMD Ryzen 9 7900X3D,521.74,12,4.4,5.6,120,Radeon,True,AM4,Gaming,33.55420090113967
Intel Core i7-9700K,339.0,8,3.6,4.9,95,Intel UHD Graphics 630,False,LGA1151,Gaming,27.605685131195333
AMD Ryzen 5 2600,165.0,6,3.4,3.9,65,None,True,AM4,Office,34.98542274052478
Intel Core i7-11700K,272.87,8,3.6,5.0,125,Intel UHD Graphics 750,True,LGA1200,Gaming,23.212550326252952
