name,price,style,switches,backlit,tenkeyless,connection_type,color,purpose,performance_score
Corsair K60 RGB Pro,99.99,Gaming,Cherry Viola,RGB,False,Wired,Black,Mid-Range Gaming,68.0
HP HyperX Alloy Core RGB,34.99,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Redragon K552,36.99,Gaming,Outemu Blue,Red,True,Wired,Black,Compact,59.0
Razer Huntsman Mini,94.99,Mini,Razer Purple Optical Clicky,RGB,True,Wired,White,Compact,88.0
SteelSeries Apex Pro TKL,179.99,Gaming,SteelSeries QX2 OmniPoint,RGB,True,Wired,Black,Premium Gaming,68.0
Logitech G915 Lightspeed,227.54,Gaming,Logitech GL Tactile,RGB,False,Wireless,Black,Premium Gaming,80.0
Logitech K120,12.97,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Logitech G19,198.69,Standard,None,Multicolor,False,Wired,Black,Mid-Range Gaming,59.0
Corsair K55 RGB PRO,49.88,Gaming,None,Multicolor,False,Wired,Black,Mid-Range Gaming,59.0
Topre Realforce 87U,649.33,Slim,Topre Variable,Blue,True,Wired,Black,Compact,59.0
Logitech G413 Carbon,52.99,Gaming,Romer-G Tactile,Red,False,Wired,Black,Mid-Range Gaming,59.0
Redragon S113,37.59,Gaming,Outemu Brown,RGB,True,Wired,Black,Compact,68.0
Corsair K100 RGB,249.99,Gaming,Corsair OPX,RGB,False,Wired,Black,Premium Gaming,68.0
HP HyperX Alloy Origins Core,88.0,Gaming,HyperX Red,RGB,True,Wired,Black,Compact,68.0
SteelSeries Apex Pro,165.99,Gaming,OmniPoint Adjustable,RGB,False,Wired,Black,Premium Gaming,68.0
G.Skill KM360,49.99,Standard,Cherry MX Red,White,True,Wired,White,Office/Budget,79.0
Corsair K70 RGB MK.2,118.8,Gaming,Cherry MX Red,RGB,False,Wired,Black,Mid-Range Gaming,88.0
Corsair K65 60%,72.43,Mini,Cherry MX Speed Silver,RGB,True,Wired,Black,Compact,88.0
Logitech G915 TKL,198.29,Gaming,GL Tactile,RGB,True,Wireless,Black,Premium Gaming,80.0
Razer BlackWidow X Chroma Mercury Edition,354.33,Gaming,Razer Green,RGB,False,Wired,Silver / White,Premium Gaming,88.0
Keychron K2 V2 Aluminum,99.99,Standard,Gateron G Pro Brown,RGB,True,Wireless,Black / Gray,Compact,92.0
SteelSeries Apex 3 TKL RGB,44.98,Gaming,None,RGB,True,Wired,Black,Compact,68.0
Razer BlackWidow V3,84.99,Gaming,Razer Green,RGB,True,Wired,Black,Compact,88.0
Logitech G610,85.98,Gaming,Cherry MX Red,White,False,Wired,Black,Mid-Range Gaming,79.0
Razer Huntsman Tournament Edition,129.99,Gaming,Razer Red Optical Linear,RGB,True,Wired,Black,Compact,88.0
Razer Ornata Chroma,61.72,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Redragon K582 SURARA,44.99,Gaming,Outemu Red,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Logitech G213 PRODIGY,49.99,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Corsair K100 AIR Wireless,229.99,Gaming,Cherry MX Ultra Low Profile Tactile,RGB,False,"Wired, Wireless, Bluetooth Wireless",Black,Premium Gaming,100.0
Logitech G715,179.99,Gaming,GX Brown,RGB,True,"Wired, Wireless, Bluetooth Wireless",White,Premium Gaming,80.0
SteelSeries Apex 3,24.98,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Corsair K70 RGB MK.2 SE,169.99,Gaming,Cherry MX Speed Silver,RGB,False,Wired,White / Silver,Premium Gaming,88.0
HP HyperX Alloy Origins,32.48,Gaming,HyperX Red,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Razer BlackWidow V3 Pro,199.95,Gaming,Razer Yellow,RGB,False,Wireless,Black,Premium Gaming,100.0
Asus ROG Azoth,219.99,Mini,ROG NX Red,RGB,True,"Wired, Wireless, Bluetooth Wireless",Black,Compact,80.0
Verbatim 99201,10.0,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Asceny One,19.98,Mini,Gateron Blue Optical,RGB,True,Wired,Black,Compact,80.0
Logitech G PRO,71.9,Gaming,GX Blue,RGB,True,Wired,Black,Compact,68.0
Razer Huntsman Elite,199.99,Gaming,Razer Purple,RGB,False,Wired,Black,Premium Gaming,88.0
Corsair K65 RGB MINI,129.2,Mini,Cherry MX Red,RGB,True,Wired,Black,Compact,88.0
Wooting Two HE,85.06,Gaming,Lekker linear60,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Corsair K95 RGB PLATINUM,288.99,Gaming,Cherry MX Speed Silver,RGB,False,Wired,Black,Premium Gaming,88.0
Logitech G613,72.98,Standard,Romer-G Tactile,None,False,Wireless,Black,Mid-Range Gaming,50.0
Logitech Wireless Combo MK270,27.99,Standard,None,None,False,Wireless,Black,Office/Budget,50.0
Logitech G413 SE,47.99,Gaming,Kailh LT Brown,White,True,Wired,Black,Compact,71.0
Corsair K70 RGB PRO,114.99,Gaming,Cherry MX Red,RGB,False,Wired,Black,Mid-Range Gaming,88.0
Tecware Phantom RGB,45.99,Gaming,Outemu Brown,RGB,True,Wired,Black,Compact,68.0
Razer Huntsman V2 Analog,109.98,Gaming,Razer Analog Optical,RGB,False,Wired,Black,Mid-Range Gaming,88.0
Corsair STRAFE RGB MK.2,117.95,Gaming,Cherry MX Red,RGB,False,Wired,None,Mid-Range Gaming,88.0
Turtle Beach IMPACT 100,12.95,Gaming,None,None,False,Wired,Black / Red,Mid-Range Gaming,38.0
Glorious GMMK,79.98,Gaming,Gateron Brown,RGB,True,Wired,Black,Compact,80.0
Turtle Beach IMPACT 700,18.95,Gaming,Cherry MX Brown,Red,False,Wired,Black,Mid-Range Gaming,79.0
Razer Blackwidow V3 - Quartz,109.33,Gaming,Razer Green,RGB,False,Wired,Pink,Mid-Range Gaming,88.0
SteelSeries Apex 5,79.98,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
E-element Z88RGB81WRZ,34.99,Mini,Outemu Blue,Multicolor,True,Wired,White,Compact,59.0
Corsair K70 RGB TKL CHAMPION SERIES,149.99,Gaming,Cherry MX Red,RGB,True,Wired,Black,Compact,88.0
Logitech MX Keys Advanced,102.0,Slim,None,White,False,Wireless,Black,Mid-Range Gaming,71.0
Logitech G815 Lightsync RGB,199.61,Gaming,GL Tactile,RGB,False,Wired,Black,Premium Gaming,68.0
Redragon K596 Vishnu,74.98,Gaming,Outemu Red,RGB,True,Wireless,Black,Compact,80.0
Logitech G Pro X,69.98,Gaming,Logitech GX Blue Clicky,RGB,True,Wired,Black,Compact,68.0
SteelSeries Apex 7 TKL,109.99,Gaming,SteelSeries QX2 Red,RGB,True,Wired,Black,Compact,68.0
Logitech MK120,17.99,Slim,None,None,False,Wired,Black,Office/Budget,38.0
Corsair K95 RGB PLATINUM XT,145.96,Gaming,Cherry MX Speed Silver,RGB,False,Wired,Black,Mid-Range Gaming,88.0
Ducky One 2 Mini,133.36,Standard,Cherry MX Red,RGB,True,Wired,White / Black,Compact,88.0
Razer Huntsman V2,132.99,Gaming,Razer Red Optical Linear,RGB,True,Wired,Black,Compact,88.0
Razer BlackWidow V3 Mini HyperSpeed,109.99,Gaming,Razer Green,RGB,True,Wireless,Black,Compact,100.0
Razer Cynosa V2,66.75,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Razer Ornata V2,58.87,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Corsair K70 PRO MINI,119.99,Mini,Cherry MX Speed Silver,RGB,True,Wireless,Black,Compact,100.0
Redragon DEVARAIAS K556 RGB,59.99,Gaming,Outemu Brown,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Logitech G512 CARBON,99.99,Gaming,GX Brown,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Corsair Vengeance K70,110.6,Gaming,Cherry MX Red,Red,False,Wired,Black,Mid-Range Gaming,79.0
Asus ROG Strix Flare II Animate,219.99,Gaming,ROG NX Red,RGB,False,Wired,Black,Premium Gaming,68.0
Razer BlackWidow V4 Pro,229.99,Gaming,Razer Green,RGB,False,Wired,Black,Premium Gaming,88.0
Lenovo 300,10.19,Slim,None,None,False,Wired,Black,Office/Budget,38.0
Asus M601 ROG FALCHION/RD/US,149.0,Gaming,Cherry MX Red,RGB,True,Wireless,Black,Compact,100.0
GMMK Glorious Modular Mechanical Gaming Keyboard,79.98,Gaming,Gateron Brown,RGB,True,Wired,Black,Compact,80.0
Logitech G Pro,140.0,Gaming,Romer-G Tactile,RGB,True,Wired,Black,Compact,68.0
