name,price,price_per_gb,color,first_word_latency,cas_latency,speed_mhz,ddr_type,total_capacity,purpose,performance_score
Corsair Vengeance LPX 16 GB,39.99,2.499,Black / Yellow,10.0,16.0,3200,DDR4,16,Office,14.128140630872874
Corsair Vengeance RGB Pro 32 GB,104.98,3.281,Black,10.0,18.0,3600,DDR4,32,Office,20.76502732240437
Corsair Vengeance 32 GB,92.99,2.906,Black,12.857,36.0,5600,DDR5,32,Design,25.632534132187406
Corsair Vengeance LPX 32 GB,67.98,2.124,Black / Yellow,10.0,18.0,3600,DDR4,32,Office,20.76502732240437
G.Skill Trident Z5 RGB 32 GB,104.99,3.281,Black,12.0,36.0,6000,DDR5,32,Office,26.64266331044518
Corsair Vengeance RGB Pro 16 GB,56.99,3.562,Black,10.0,16.0,3200,DDR4,16,Office,14.128140630872874
G.Skill Trident Z5 RGB 64 GB,229.99,3.594,Black / Silver,10.0,32.0,6400,DDR5,64,Gaming,39.0003368653769
Silicon Power GAMING 16 GB,29.97,1.873,Black / Gray,10.0,16.0,3200,DDR4,16,Office,14.128140630872874
G.Skill Ripjaws V 32 GB,63.99,2.0,Black,10.0,16.0,3200,DDR4,32,Office,19.78778153641542
Corsair Vengeance RGB Pro SL 32 GB,77.99,2.437,White / Black,10.0,18.0,3600,DDR4,32,Office,20.76502732240437
Corsair Vengeance RGB 32 GB,102.99,3.218,White,12.0,36.0,6000,DDR5,32,Office,26.64266331044518
G.Skill Flare X5 32 GB,94.99,2.968,Black,12.0,36.0,6000,DDR5,32,Office,26.64266331044518
G.Skill Ripjaws S5 32 GB,97.99,3.062,Black,10.0,30.0,6000,DDR5,32,Gaming,26.687737603371353
Silicon Power GAMING 32 GB,48.97,1.53,Black,10.0,16.0,3200,DDR4,32,Office,19.78778153641542
TEAMGROUP T-Force Vulcan Z 16 GB,33.99,2.124,Black,10.0,16.0,3200,DDR4,16,Office,14.128140630872874
G.Skill Ripjaws V 16 GB,48.99,3.062,Black,8.889,16.0,3600,DDR4,16,Office,15.152289955595872
G.Skill Trident Z5 Neo RGB 32 GB,116.99,3.656,Black,10.0,30.0,6000,DDR5,32,Gaming,26.687737603371353
G.Skill Ripjaws V 64 GB,1937.68,30.276,Black,8.75,14.0,3200,DDR4,64,Office,31.1644320272448
Corsair Vengeance 64 GB,259.99,4.062,Black / Gray,9.697,32.0,6600,DDR5,64,Gaming,39.505284137897405
Kingston FURY Beast 16 GB,47.75,2.984,Black,10.0,16.0,3200,DDR4,16,Office,14.128140630872874
G.Skill Trident Z RGB 32 GB,81.99,2.562,Black,10.0,16.0,3200,DDR4,32,Office,19.78778153641542
G.Skill Trident Z RGB 16 GB,59.99,3.749,Black,10.0,18.0,3600,DDR4,16,Office,15.105386416861828
G.Skill Trident Z5 Neo 64 GB,224.99,3.515,Black / Silver,10.0,30.0,6000,DDR5,64,Gaming,38.007019414456444
TEAMGROUP T-Force Vulcan Z 32 GB,57.99,1.812,Black,10.0,18.0,3600,DDR4,32,Office,20.76502732240437
TEAMGROUP T-Force Delta RGB 16 GB,46.99,2.937,Black,10.0,18.0,3600,DDR4,16,Office,15.105386416861828
Corsair Dominator Platinum RGB 32 GB,169.99,5.312,White,11.613,36.0,6200,DDR5,32,Office,27.147581500377235
Corsair Vengeance LPX 64 GB,127.99,2.0,Black / Yellow,10.0,16.0,3200,DDR4,64,Office,31.107063347500507
TEAMGROUP T-Force Delta RGB 32 GB,65.98,2.062,Black,10.0,18.0,3600,DDR4,32,Office,20.76502732240437
TEAMGROUP T-Force Vulcan 32 GB,79.98,2.499,Black,11.429,32.0,5600,DDR5,32,Office,25.66027155014041
Kingston FURY 128 GB,551.71,4.31,White,14.286,40.0,5600,DDR5,128,Design,59.56808508262261
Silicon Power XPOWER Turbine 16 GB,29.97,1.873,Blue,10.0,16.0,3200,DDR4,16,Office,14.128140630872874
G.Skill Trident Z5 Neo 32 GB,119.99,3.75,Black,10.0,30.0,6000,DDR5,32,Gaming,26.687737603371353
Kingston FURY Renegade 32 GB,97.15,3.036,Black,8.889,16.0,3600,DDR4,32,Office,20.811930861138418
Silicon Power SP016GBLFU320B22 16 GB,25.97,1.623,Unknown,13.75,22.0,3200,DDR4,16,General,14.0169156395319
G.Skill Trident Z5 Neo RGB 64 GB,219.99,3.437,Black / Silver,10.0,30.0,6000,DDR5,64,Gaming,38.007019414456444
TEAMGROUP Vulcan Z 16 GB,36.99,2.312,Black,10.0,18.0,3600,DDR4,16,Office,15.105386416861828
Corsair Dominator Platinum RGB 64 GB,379.99,5.937,Black,9.697,32.0,6600,DDR5,64,Gaming,39.505284137897405
Corsair Vengeance RGB 64 GB,199.99,3.125,Black,13.333,40.0,6000,DDR5,64,Design,37.93927098847304
Corsair Vengeance RGB RT 256 GB,1379.99,5.391,Black,10.0,18.0,3600,DDR4,256,Office,100.00000000000001
TEAMGROUP T-Create Expert 32 GB,48.99,1.531,Gray,10.0,16.0,3200,DDR4,32,Office,19.78778153641542
G.Skill Trident Z Neo 32 GB,109.99,3.437,Black / Silver,8.889,16.0,3600,DDR4,32,Office,20.811930861138418
G.Skill Trident Z RGB 64 GB,149.99,2.344,Black,10.0,18.0,3600,DDR4,64,Office,32.08430913348946
