name,price,socket,form_factor,max_memory,memory_slots,color,memory_type,purpose,performance_score
MSI MAG B550 TOMAHAWK,169.99,AM4,atx,128,4,Black / Silver,DDR4,Design,12.13
MSI B550-A PRO,139.99,AM4,atx,128,4,Black / Silver,DDR4,Design,12.13
MSI B550M PRO-VDH WIFI,119.99,AM4,micro atx,128,4,Black,DDR4,Office,12.13
Gigabyte Z790 AORUS ELITE AX,239.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Asus Prime B450M-A II,79.99,AM4,micro atx,128,4,Unknown,DDR4,Office,12.13
MSI MAG B660 TOMAHAWK WIFI DDR4,189.99,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Gigabyte B650 AORUS ELITE AX,202.3,AM5,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Asus ROG STRIX B550-A GAMING,169.99,AM4,atx,128,4,Black / White,DDR4,Design,12.13
MSI MAG Z790 TOMAHAWK WIFI,276.79,LGA1700,atx,192,4,Black,DDR5,Gaming,15.48
MSI MAG B650 TOMAHAWK WIFI,219.95,AM5,atx,128,4,Black,DDR5,Gaming,12.9
Asus TUF GAMING X570-PLUS (WI-FI),199.99,AM4,atx,128,4,Black / Gold,DDR4,Design,12.13
Gigabyte B660M DS3H AX DDR4,99.99,LGA1700,micro atx,128,4,Black,DDR5,Gaming,12.9
Gigabyte B650 GAMING X AX,169.99,AM5,atx,128,4,Black / Gray,DDR5,Gaming,12.9
Gigabyte B550M DS3H,107.99,AM4,micro atx,128,4,Black / Gold,DDR4,Office,12.13
Asus ROG STRIX B550-F GAMING WIFI II,189.99,AM4,atx,128,4,Black / Red,DDR4,Design,12.13
MSI B550 GAMING GEN3,117.36,AM4,atx,128,4,Black,DDR4,Design,12.13
MSI PRO Z790-P WIFI,217.42,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Gigabyte B450M DS3H WIFI,79.99,AM4,micro atx,64,4,Brown / Black,DDR4,Office,9.55
MSI MAG B660M MORTAR WIFI DDR4,168.96,LGA1700,micro atx,128,4,Silver / Black,DDR5,Gaming,12.9
Gigabyte B550 AORUS ELITE AX V2,159.99,AM4,atx,128,4,Black / Silver,DDR4,Design,12.13
Asus ROG STRIX B650E-F GAMING WIFI,267.73,AM5,atx,128,4,Black,DDR5,Gaming,12.9
ASRock B550M Pro4,106.99,AM4,micro atx,128,4,Silver / Black,DDR4,Office,12.13
Asus ROG STRIX Z690-A GAMING WIFI D4,442.71,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
Asus TUF GAMING B550-PLUS WIFI II,169.99,AM4,atx,128,4,Black / Gray,DDR4,Design,12.13
MSI B450M PRO-VDH MAX,79.98,AM4,micro atx,64,4,Black / Silver,DDR4,Office,9.55
MSI MPG B550 GAMING PLUS,149.99,AM4,atx,128,4,Black,DDR4,Design,12.13
Gigabyte B650I AORUS ULTRA,259.99,AM5,mini itx,64,2,Black / Silver,DDR5,Office,8.39
MSI PRO B760-P WIFI DDR4,161.98,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Asus ROG STRIX B760-I GAMING WIFI,218.99,LGA1700,mini itx,64,2,Black,DDR4,Office,8.39
MSI PRO B650-P WIFI,189.99,AM5,atx,128,4,Black,DDR5,Gaming,12.9
MSI PRO B650M-A WIFI,165.95,AM5,micro atx,128,4,Black,DDR5,Gaming,12.9
MSI PRO B550M-VC WIFI,118.61,AM4,micro atx,128,4,Black,DDR4,Office,12.13
MSI A520M-A PRO,75.99,AM4,micro atx,64,2,Black,DDR4,Office,7.61
MSI MAG Z690 TOMAHAWK WIFI DDR4,239.99,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Asus ROG STRIX Z790-E GAMING WIFI,485.14,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Gigabyte A520I AC,109.99,AM4,mini itx,64,2,Black,DDR4,Office,7.61
Asus PRIME Z690-P WIFI D4,199.0,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
MSI MAG X670E TOMAHAWK WIFI,309.99,AM5,atx,192,4,Black,DDR5,Gaming,15.48
Asus ROG MAXIMUS Z790 HERO,588.85,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Gigabyte B650M DS3H,139.99,AM5,micro atx,128,4,Brown / Black,DDR5,Gaming,12.9
MSI PRO H610M-G DDR4,79.99,LGA1700,micro atx,64,2,Black / Silver,DDR4,Office,8.39
MSI MAG B550 TOMAHAWK MAX WIFI,199.99,AM4,atx,128,4,Silver / Black,DDR4,Design,12.13
ASRock B660M Pro RS,89.99,LGA1700,micro atx,128,4,Gray / Black,DDR5,Gaming,12.9
ASRock A520M-HDV,70.42,AM4,micro atx,64,2,Black / Silver,DDR4,Office,7.61
Asus TUF GAMING B650-PLUS WIFI,227.99,AM5,atx,128,4,Black,DDR5,Gaming,12.9
Asus ROG STRIX X670E-E GAMING WIFI,484.99,AM5,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Gigabyte B550I AORUS PRO AX,169.99,AM4,mini itx,64,2,Black / Silver,DDR4,Office,7.61
Asus TUF GAMING Z790-PLUS WIFI,269.99,LGA1700,atx,128,4,Black / Gray,DDR5,Gaming,12.9
ASRock B550M-ITX/ac,129.99,AM4,mini itx,64,2,Silver / Black,DDR4,Office,7.61
MSI PRO Z690-A WIFI DDR4,169.95,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Asus TUF GAMING A520M-PLUS WIFI,99.99,AM4,micro atx,128,4,Black / Orange,DDR4,Office,12.13
Gigabyte B550 GAMING X V2,109.99,AM4,atx,128,4,Black,DDR4,Design,12.13
MSI MPG B650I EDGE WIFI,274.27,AM5,mini itx,64,2,Black / Silver,DDR5,Office,8.39
Gigabyte B550M DS3H AC,87.99,AM4,micro atx,128,4,Black,DDR4,Office,12.13
Gigabyte B760 GAMING X AX,159.99,LGA1700,atx,128,4,Black / Gray,DDR5,Gaming,12.9
Asus ROG STRIX B550-F GAMING,175.6,AM4,atx,128,4,Black,DDR4,Design,12.13
MSI PRO B660M-A WIFI DDR4,173.5,LGA1700,micro atx,128,4,Black / Silver,DDR5,Gaming,12.9
Asus ROG ZENITH II EXTREME ALPHA,2059.0,STRX4,eatx,256,8,Black / Silver,DDR4,Design,20.77
ASRock B550M Phantom Gaming 4,86.99,AM4,micro atx,128,4,Black,DDR4,Office,12.13
Gigabyte B650M AORUS ELITE AX,189.99,AM5,micro atx,128,4,Black,DDR5,Gaming,12.9
Asus ROG STRIX B650-A GAMING WIFI,244.99,AM5,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Asus PRIME B550M-A WIFI II,129.99,AM4,micro atx,128,4,Blue / Silver,DDR4,Office,12.13
ASRock B650M Pro RS WiFi,124.99,AM5,micro atx,128,4,Black / Silver,DDR5,Gaming,12.9
Gigabyte B550M AORUS ELITE,130.19,AM4,micro atx,128,4,Black / Orange,DDR4,Office,12.13
Asus PRIME Z790-A WIFI,279.99,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
MSI MPG Z490 GAMING EDGE WIFI,285.27,LGA1200,atx,128,4,Black / Silver,DDR4,Gaming,12.52
MSI MPG Z490 GAMING PLUS,109.99,LGA1200,atx,128,4,Black / Silver,DDR4,Gaming,12.52
ASRock B550 Phantom Gaming 4/ac,89.99,AM4,atx,128,4,Silver / Black,DDR4,Design,12.13
ASRock Z690M-ITX/ax,171.17,LGA1700,mini itx,64,2,Silver / Black,DDR4,Office,8.39
Gigabyte X670 AORUS ELITE AX (rev. 1.0),269.99,AM5,atx,128,4,Black,DDR5,Gaming,12.9
ASRock B650M-HDV/M.2,124.99,AM5,micro atx,64,2,Silver / Black,DDR5,Office,8.39
Gigabyte X570S AORUS ELITE AX,189.99,AM4,atx,128,4,Black / Silver,DDR4,Design,12.13
Asus TUF GAMING B550M-PLUS WIFI II,159.99,AM4,micro atx,128,4,Black / Gray,DDR4,Office,12.13
Gigabyte B760M DS3H AX DDR4,178.5,LGA1700,micro atx,128,4,Black,DDR5,Gaming,12.9
MSI MPG Z790 EDGE WIFI,339.99,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
ASRock B660M-HDV,97.73,LGA1700,micro atx,64,2,Gray / Black,DDR4,Office,8.39
Asus ROG STRIX Z690-E GAMING WIFI,265.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
MSI PRO B760M-P DDR4,99.95,LGA1700,micro atx,128,4,Black,DDR5,Gaming,12.9
NZXT N7 Z790,299.99,LGA1700,atx,128,4,White / Black,DDR5,Gaming,12.9
ASRock H570 Phantom Gaming 4,81.0,LGA1200,atx,128,4,Silver / Black,DDR4,Gaming,12.52
Asus PRIME B550-PLUS,129.99,AM4,atx,128,4,Black / White,DDR4,Design,12.13
Gigabyte B760M AORUS ELITE AX,119.99,LGA1700,micro atx,128,4,Black / Silver,DDR5,Gaming,12.9
Gigabyte B760 AORUS ELITE AX,159.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Asus ROG STRIX B650E-I GAMING WIFI,324.99,AM5,mini itx,64,2,Black,DDR5,Office,8.39
MSI PRO X670-P WIFI,229.95,AM5,atx,128,4,Black / White,DDR5,Gaming,12.9
Asus PRIME B660-PLUS D4,179.94,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
Gigabyte A520M S2H,74.98,AM4,micro atx,64,2,Black,DDR4,Office,7.61
Asus PRIME Z790-P WIFI,222.98,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
MSI MPG B650 EDGE WIFI,239.99,AM5,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Gigabyte B550M K,79.98,AM4,micro atx,128,4,Brown / Silver,DDR4,Office,12.13
ASRock B550M-HDV,79.98,AM4,micro atx,64,2,Black,DDR4,Office,7.61
MSI B450 TOMAHAWK MAX,287.48,AM4,atx,128,4,Black,DDR4,Design,12.13
MSI MPG X670E CARBON WIFI,439.99,AM5,atx,128,4,Black,DDR5,Gaming,12.9
ASRock Z790 PG LIGHTNING,179.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Gigabyte B550 AORUS ELITE V2,163.43,AM4,atx,128,4,Black,DDR4,Design,12.13
Asus ROG STRIX B760-A GAMING WIFI D4,218.99,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
Asus PRIME A320M-K,96.78,AM4,micro atx,32,2,Black / White,DDR4,General,6.32
Asus TUF GAMING X670E-PLUS WIFI,301.2,AM5,atx,128,4,Black / Orange,DDR5,Gaming,12.9
Asus PRIME B660M-A WIFI D4,164.37,LGA1700,micro atx,128,4,Silver / Black,DDR5,Gaming,12.9
Asus ROG STRIX B450-F GAMING,279.0,AM4,atx,64,4,Black,DDR4,General,9.55
ASRock B550 Phantom Gaming 4,84.99,AM4,atx,128,4,Silver / Black,DDR4,Design,12.13
MSI PRO Z790-A WIFI,219.99,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
NZXT N7 B550,249.99,AM4,atx,128,4,White / Black,DDR4,Design,12.13
ASRock B550 Phantom Gaming-ITX/ax,191.25,AM4,mini itx,64,2,Silver / Black,DDR4,Office,7.61
MSI MAG B650M MORTAR WIFI,199.95,AM5,micro atx,128,4,Black,DDR5,Gaming,12.9
NZXT N7 B650E,316.99,AM5,atx,128,4,White,DDR5,Gaming,12.9
ASRock B550M Steel Legend,129.99,AM4,micro atx,128,4,Silver / Black,DDR4,Office,12.13
Gigabyte B650M K,119.99,AM5,micro atx,128,4,Brown / Silver,DDR5,Gaming,12.9
Asus ROG STRIX X670E-I GAMING WIFI,429.99,AM5,mini itx,64,2,Black / Silver,DDR5,Office,8.39
MSI B450I GAMING PLUS MAX WIFI,149.99,AM4,mini itx,64,2,Black,DDR4,Office,7.61
ASRock B550 Pro4,114.99,AM4,atx,128,4,Silver / Black,DDR4,Design,12.13
ASRock B550M PG RIPTIDE,89.99,AM4,micro atx,128,4,Unknown,DDR4,Office,12.13
Asus ROG STRIX Z790-A GAMING WIFI,349.99,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
Asus ROG CROSSHAIR X670E HERO,656.53,AM5,atx,128,4,Black / Silver,DDR5,Gaming,12.9
MSI MAG B760 TOMAHAWK WIFI,199.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
ASRock B450M Pro4,139.99,AM4,micro atx,128,4,Black / Silver,DDR4,Office,12.13
ASRock X670E Steel Legend,299.99,AM5,atx,128,4,Black / White,DDR5,Gaming,12.9
MSI MAG X570S TOMAHAWK MAX WIFI,279.5,AM4,atx,128,4,Black,DDR4,Design,12.13
MSI MPG X570S EDGE MAX WIFI,199.99,AM4,atx,128,4,Black / Silver,DDR4,Design,12.13
Asus ROG STRIX X670E-A GAMING WIFI,385.99,AM5,atx,128,4,Silver / Black,DDR5,Gaming,12.9
Asus TUF GAMING Z690-PLUS WIFI D4,274.99,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
MSI MAG Z690 TOMAHAWK WIFI,217.0,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
MSI B760 GAMING PLUS WIFI,159.99,LGA1700,atx,192,4,Black / Silver,DDR5,Gaming,15.48
Asus PRIME B650-PLUS,190.99,AM5,atx,128,4,Black / Silver,DDR5,Gaming,12.9
ASRock A520M-ITX/ac,136.6,AM4,mini itx,64,2,Black / Silver,DDR4,Office,7.61
MSI MEG Z790 GODLIKE,1199.99,LGA1700,eatx,128,4,Black,DDR5,Gaming,12.9
ASRock A620M Pro RS WiFi,124.99,AM5,micro atx,128,4,Silver / Black,DDR5,Gaming,12.9
