name,price,tracking_method,connection_type,max_dpi,hand_orientation,color,purpose,performance_score
Logitech G502 HERO,46.99,Optical,Wired,25600.0,Right,Black,Mid-Range Gaming,66.67
Logitech G Pro X Superlight,139.99,Optical,Wireless,25400.0,Right,Black,Premium Gaming,82.33
Logitech G305 (Black),39.97,Optical,Wireless,12000.0,Right,Black,Portable,60.0
Logitech G502 LIGHTSPEED,107.77,Optical,Wireless,25600.0,Right,Black,Premium Gaming,82.67
Razer DeathAdder V2,44.99,Optical,Wired,20000.0,Right,Black,Mid-Range Gaming,57.33
Razer Basilisk V3,54.57,Optical,Wired,26000.0,Right,Black,Mid-Range Gaming,67.33
FinalMouse Air58 Ninja,624.97,Optical,Wired,3200.0,Right,Blue,Mid-Range Gaming,29.33
Glorious Model O,74.98,Optical,Wireless,19000.0,Right,White,Mid-Range Gaming,71.67
SteelSeries 62050,70.25,Optical,Wired,3600.0,Right,Black,Mid-Range Gaming,30.0
Logitech G Pro Wireless,88.63,Optical,Wireless,25600.0,Both,Black,Mid-Range Gaming,82.67
Logitech G203 Lightsync,34.48,Optical,Wired,8000.0,Right,Black,Mid-Range Gaming,37.33
SteelSeries Rival 3,29.99,Optical,Wired,8500.0,Right,Black,Mid-Range Gaming,38.17
Razer Basilisk X HyperSpeed,34.98,Optical,Wireless,16000.0,Right,Black / Green,Mid-Range Gaming,66.67
Razer Viper Ultimate w/Dock,96.0,Optical,Wireless,20000.0,Both,Black,Mid-Range Gaming,73.33
Logitech G502 X Plus,144.99,Optical,"Wired, Wired, Wireless",25600.0,Right,Black,Premium Gaming,82.67
Razer Basilisk V3 Pro + Mouse Dock Pro,199.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000.0,Right,Black,Premium Gaming,90.0
Logitech G305 (White),39.99,Optical,Wireless,12000.0,Right,White,Portable,60.0
Razer DeathAdder V3 Pro,130.81,Optical,Wireless,30000.0,Right,Black,Premium Gaming,90.0
Razer Viper V2 Pro,146.19,Optical,Wireless,30000.0,Right,Black,Premium Gaming,90.0
Glorious MODEL O,49.99,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Razer DeathAdder Essential,22.7,Optical,Wired,6400.0,Right,Black / Green,Mid-Range Gaming,34.67
Corsair DARK CORE RGB PRO SE,96.99,Optical,Wireless,18000.0,Right,Black,Mid-Range Gaming,70.0
Logitech G703 LIGHTSPEED,63.99,Optical,Wireless,25600.0,Right,Black,Mid-Range Gaming,82.67
Logitech MX MASTER 3S,99.99,Optical,Wireless,8000.0,Right,Gray,Portable,53.33
Corsair M65 RGB ELITE,36.98,Optical,Wired,17997.0,Right,Black,Mid-Range Gaming,53.99
Razer Viper Mini,49.05,Optical,Wired,8500.0,Right,Black,Mid-Range Gaming,38.17
Corsair M65 RGB ULTRA WIRELESS,109.93,Optical,Wireless,26000.0,Right,Black / Silver,Premium Gaming,83.33
Redragon COBRA M711,19.98,Optical,Wired,10000.0,Right,Black / Multicolor,Mid-Range Gaming,40.67
Logitech B100,7.97,Optical,Wired,800.0,None,Black,Office/Budget,25.33
Razer Viper Ultimate,99.99,Optical,Wireless,20000.0,Both,Black,Mid-Range Gaming,73.33
Asus ROG HARPE ACE AIM LAB EDITION,123.99,Optical,"Wired, Wireless",36000.0,Right,Black,Premium Gaming,100.0
Razer Viper 8KHz,51.98,Optical,Wired,20000.0,Both,Black,Mid-Range Gaming,57.33
Corsair NIGHTSWORD RGB,69.99,Optical,Wired,18000.0,Right,Black,Mid-Range Gaming,54.0
Razer Naga Trinity,75.87,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Logitech Anywhere Mouse MX,149.94,Laser,Wireless,3200.0,Both,Black,Portable,45.33
Logitech G502 Proteus Spectrum,72.98,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Logitech G402,30.48,Optical,Wired,4000.0,Right,Black,Mid-Range Gaming,30.67
Razer Basilisk V3 Pro,131.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000.0,Right,Black,Premium Gaming,90.0
Corsair SCIMITAR RGB ELITE,73.98,Optical,Wired,18000.0,Right,Black,Mid-Range Gaming,54.0
Logitech G305 LIGHTSPEED,49.99,Optical,Wireless,12000.0,Right,Black,Portable,60.0
Logitech G502 X,125.0,Optical,"Wired, Wired, Wireless",25600.0,Right,Black,Premium Gaming,82.67
SteelSeries Rival 5,39.99,Optical,Wired,18000.0,Right,Black,Mid-Range Gaming,54.0
Logitech G600 MMO Gaming Mouse,37.99,Laser,Wired,8200.0,Right,Black,Mid-Range Gaming,37.67
SteelSeries Aerox 3,95.15,Optical,Bluetooth Wireless,18000.0,Right,Black,Mid-Range Gaming,70.0
Razer DeathAdder V2 Pro,69.0,Optical,Wireless,20000.0,Right,Black,Mid-Range Gaming,73.33
Verbatim 98616 Go Mini Travel Commuter,4.99,Optical,Wired,3200.0,Both,Blue,Office/Budget,29.33
Razer DeathAdder V3,69.98,Optical,None,30000.0,Right,Black,Mid-Range Gaming,50.0
Logitech MX Master 3,99.0,Laser,Wireless,4000.0,Right,Black / Silver,Portable,46.67
HP HyperX Pulsefire Haste,39.97,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Corsair HARPOON RGB PRO,34.99,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Asus P707 ROG SPATHA X,149.99,Optical,Wireless,19000.0,Right,Black,Mid-Range Gaming,71.67
Razer Naga Pro,112.11,Optical,Wireless,20000.0,Right,Black,Premium Gaming,73.33
Corsair HARPOON RGB,44.99,Optical,Wireless,10000.0,Right,Black,Portable,56.67
Glorious MODEL D,49.99,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Redragon M602,19.98,Optical,Wired,7200.0,Right,Black,Mid-Range Gaming,36.0
Razer Mamba Elite,29.48,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Logitech G403 HERO,39.99,Optical,Wired,25600.0,Right,Black / Blue,Mid-Range Gaming,66.67
Razer Naga V2 Pro,179.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000.0,Right,Black,Premium Gaming,90.0
Razer Basilisk Ultimate,99.99,Optical,Wireless,20000.0,Right,Black,Mid-Range Gaming,73.33
Corsair Harpoon RGB,20.49,Optical,Wired,6000.0,Right,Black,Mid-Range Gaming,34.0
Corsair M65 PRO RGB FPS,33.99,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Logitech G700s,389.98,Laser,Wireless,8200.0,Right,Black,Portable,53.67
Logitech G903 HERO,90.74,Optical,Wireless,25600.0,Both,Black,Mid-Range Gaming,82.67
SteelSeries Aerox 9,113.99,Optical,Wireless,18000.0,Right,Black,Mid-Range Gaming,70.0
SteelSeries Rival 600,44.95,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Razer DeathAdder V2 X HyperSpeed,39.99,Optical,"Wireless, Bluetooth Wireless",14000.0,Right,Black,Mid-Range Gaming,63.33
Corsair M65 RGB ULTRA,49.99,Optical,Wired,26000.0,Right,Black / Silver,Mid-Range Gaming,67.33
Logitech G604 LIGHTSPEED,68.98,Optical,Wireless,25600.0,Right,Black,Mid-Range Gaming,82.67
SteelSeries Rival 650 Wireless,69.22,Optical,Wireless,12000.0,Right,Black,Portable,60.0
Razer Naga Chroma,269.99,Laser,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Logitech M90,7.2,Optical,Wired,1000.0,Both,Black,Office/Budget,25.67
Corsair SABRE RGB PRO WIRELESS CHAMPION SERIES,149.94,Optical,Wireless,26000.0,Right,Black,Premium Gaming,83.33
Corsair IRONCLAW RGB WIRELESS,59.99,Optical,Wireless,18000.0,Right,Black,Mid-Range Gaming,70.0
HP Pulsefire Core RGB,19.98,Optical,Wired,6200.0,Right,Black,Mid-Range Gaming,34.33
Corsair DARK CORE RGB PRO,89.99,Optical,Wireless,18000.0,Right,Black,Mid-Range Gaming,70.0
Razer Basilisk V2,45.26,Optical,Wired,20000.0,Right,Black,Mid-Range Gaming,57.33
HP HyperX Pulsefire FPS Pro,38.0,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Razer Orochi V2,60.0,Optical,Wireless,18000.0,Right,White,Mid-Range Gaming,70.0
Logitech G502 SE HERO,51.4,Optical,Wired,25600.0,Right,Black / Silver,Mid-Range Gaming,66.67
Asus P704 ROG CHAKRAM,132.26,Optical,Wireless,16000.0,Right,Black,Mid-Range Gaming,66.67
Corsair SABRE RGB PRO CHAMPION SERIES,30.0,Optical,Wired,18000.0,Right,Black,Mid-Range Gaming,54.0
Razer DeathAdder V2 Mini,33.0,Optical,Wired,8500.0,Right,Black,Mid-Range Gaming,38.17
Asus ROG Gladius III,89.99,Optical,Wireless,26000.0,Right,Black,Mid-Range Gaming,83.33
MSI CLUTCH,19.64,Optical,Wired,4200.0,Right,Black,Mid-Range Gaming,31.0
EVGA X12,24.99,Optical,Wired,16000.0,Both,Black,Mid-Range Gaming,50.67
Logitech PRO Wireless,192.0,Optical,Wireless,25600.0,Both,Black,Premium Gaming,82.67
Redragon M908 IMPACT MMO,40.48,Optical,Wired,12400.0,Right,Black,Mid-Range Gaming,44.67
Kensington Pro Fit,35.34,Laser,Wired,1800.0,Right,Black,Mid-Range Gaming,27.0
Corsair IRONCLAW RGB FPS/MOBA,39.99,Optical,Wired,18000.0,Right,Black,Mid-Range Gaming,54.0
Asus TUF Gaming M3,19.99,Optical,Wired,7000.0,Right,Black,Mid-Range Gaming,35.67
Glorious Model O-,34.77,Optical,Wired,12000.0,Right,White,Mid-Range Gaming,44.0
Trust GXT 155,56.34,Optical,Wired,4000.0,Right,Black / Blue,Mid-Range Gaming,30.67
Razer DeathAdder Elite,43.67,Optical,Wired,16000.0,Right,Black / Green,Mid-Range Gaming,50.67
MSI Clutch GM11,22.99,Optical,Wired,5000.0,Right,Black,Mid-Range Gaming,32.33
NZXT Lift,31.99,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Cooler Master MM710 Glossy Black,19.98,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Logitech MX MASTER 2S (Black),69.98,Laser,Wireless,4000.0,Right,Black,Portable,46.67
Corsair GLAIVE RGB Aluminum,154.91,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Cooler Master MM711 Matte Black,24.97,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Logitech G303 SHROUD EDITION,97.99,Optical,Wireless,25000.0,Right,Black,Mid-Range Gaming,81.67
Logitech G PRO Hero,55.99,Optical,Wired,25600.0,Right,Black,Mid-Range Gaming,66.67
Perixx MX-2000B,19.98,Laser,Wired,5040.0,Right,Black / Silver,Mid-Range Gaming,32.4
Glorious Model D-,34.25,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Logitech G303 Daedalus Apex,329.99,Optical,Wired,12000.0,Right,Black / Orange,Mid-Range Gaming,44.0
Lenovo GX30M39704 300,6.79,Laser,Wired,3200.0,Both,Black / Orange,Office/Budget,29.33
Glorious Model I,59.99,Optical,Wired,19000.0,Right,Black / Red,Mid-Range Gaming,55.67
Corsair DARKSTAR,169.99,Optical,"Wireless, Bluetooth Wireless",26000.0,Right,Black,Premium Gaming,83.33
Logitech MX Vertical,93.8,Optical,Wireless,4000.0,Right,Gray / Silver,Portable,46.67
Logitech TrackMan,399.95,Trackball,Wireless,3200.0,Right,Black / Silver,Portable,45.33
Razer Basilisk V3 X Hyperspeed,67.98,Optical,"Wired, Wireless, Bluetooth Wireless",18000.0,Right,Black,Mid-Range Gaming,70.0
Corsair KATAR ELITE,77.59,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,Black,Mid-Range Gaming,83.33
Corsair SCIMITAR PRO RGB,80.0,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Verbatim Bravo,5.99,Optical,Wired,3200.0,Both,Black,Office/Budget,29.33
Logitech M330 SILENT PLUS,18.57,Optical,Wireless,1000.0,Right,Black,Office/Budget,41.67
Logitech G903,99.99,Optical,Wireless,12000.0,Both,Black / Blue,Portable,60.0
HP HyperX Pulsefire Surge,39.99,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Gigabyte AORUS M5,49.83,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
V7 M30P20-7N,12.19,Optical,Wired,1000.0,Both,Black,Office/Budget,25.67
Corsair KATAR PRO XT,29.99,Optical,Wired,12400.0,Right,Black,Mid-Range Gaming,44.67
Logitech G Pro,79.98,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Razer Viper Mini Signature Edition,121.23,Optical,"Wired, Wireless",30000.0,Right,Black,Premium Gaming,90.0
Logitech M100,9.8,Optical,Wired,1000.0,Both,Black,Office/Budget,25.67
AOC GM500,24.21,Optical,Wired,5000.0,Both,Black,Mid-Range Gaming,32.33
Logitech G203 Prodigy,35.98,Optical,Wired,6000.0,Right,Black,Mid-Range Gaming,34.0
HP HyperX Pulsefire Haste 2,89.99,Optical,"Wired, Wireless, Bluetooth Wireless",3200.0,Right,Black,Portable,45.33
ROCCAT KONE Pro Air,59.99,Optical,Wireless,19000.0,Right,White,Mid-Range Gaming,71.67
ROCCAT Kone AIMO Remastered,69.26,Optical,Wired,16000.0,Right,White,Mid-Range Gaming,50.67
Asus TUF Gaming M4 Air,30.99,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Verbatim 98113,4.99,Optical,Wired,3200.0,Both,Black,Office/Budget,29.33
Razer Naga X,44.99,Optical,Wired,18000.0,Right,Black,Mid-Range Gaming,54.0
Razer Basilisk V3 Pro + Wireless Charging Puck,169.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000.0,Right,Black,Premium Gaming,90.0
Razer Viper,78.5,Optical,Wired,16000.0,Both,Pink / Gray,Mid-Range Gaming,50.67
Logitech G900 CHAOS SPECTRUM,81.99,Optical,Wireless,12000.0,Both,Black,Portable,60.0
Corsair KATAR PRO,39.99,Optical,Wireless,10000.0,Right,Black,Portable,56.67
Redragon ‎M711-FPS COBRA RGB,29.99,Optical,Wired,24000.0,Right,Black,Mid-Range Gaming,64.0
Corsair M55 RGB Pro,29.99,Optical,Wired,12400.0,Both,Black,Mid-Range Gaming,44.67
Logitech M185,11.99,Optical,Wireless,3200.0,Both,Gray,Office/Budget,45.33
Logitech G602,142.38,Optical,Wireless,2500.0,Right,Black / Silver,Portable,44.17
ROCCAT KONE Pro,29.99,Optical,Wired,19000.0,Right,Black,Mid-Range Gaming,55.67
Logitech M317,12.99,Laser,Wireless,3200.0,Both,Black,Office/Budget,45.33
Logitech G102 Prodigy,28.95,Optical,Wired,6000.0,Right,Black,Mid-Range Gaming,34.0
Razer Atheris,28.0,Optical,Wireless,7200.0,Right,Black,Portable,52.0
EVGA X17,19.47,Optical,Wired,16000.0,Right,Black / Gray,Mid-Range Gaming,50.67
Razer Lancehead Tournament Edition,49.09,Optical,Wired,16000.0,Both,Black / Green,Mid-Range Gaming,50.67
Logitech G300S,29.55,Optical,Wired,2500.0,Both,Black / Blue,Office/Budget,28.17
Pulsar Xlite V2,79.95,Optical,Wireless,20000.0,Right,White,Mid-Range Gaming,73.33
