name,price,chipset,memory,core_clock,boost_clock,color,length,purpose,performance_score
MSI GeForce RTX 3060 Ventus 2X 12G,289.99,GeForce RTX 3060 12GB,12.0,1320.0,1777.0,Black,235.0,Mid-Range Gaming,51.995884773662546
Asus TUF GAMING,949.99,GeForce RTX 4070 Ti,12.0,2310.0,2640.0,Black,305.0,Mid-Range Gaming,69.7530864197531
Gigabyte WINDFORCE OC,599.99,GeForce RTX 4070,12.0,1920.0,2490.0,Black,261.0,Mid-Range Gaming,66.66666666666666
Asus ROG STRIX GAMING OC,1950.55,GeForce RTX 4090,24.0,2235.0,2640.0,Black,358.0,High-End Gaming,85.18518518518519
ASRock Challenger D,189.99,Radeon RX 6600,8.0,1626.0,1626.0,Black,269.0,Budget Gaming,43.74485596707818
XFX Speedster MERC 319 CORE,499.99,Radeon RX 6800 XT,16.0,1825.0,2250.0,Black / Silver,340.0,Workstation,66.8724279835391
XFX Speedster MERC 319,579.99,Radeon RX 6950 XT,16.0,2009.0,2368.0,Black,340.0,Workstation,69.30041152263374
MSI RTX 3060 Ventus 3X 12G OC,298.99,GeForce RTX 3060 12GB,12.0,1320.0,1807.0,Black,316.0,Mid-Range Gaming,52.613168724279824
Gigabyte EAGLE,179.99,Radeon RX 6600,8.0,1626.0,2491.0,Black / Silver,282.0,Budget Gaming,61.5432098765432
MSI VENTUS 3X OC,598.0,GeForce RTX 4070,12.0,1920.0,1920.0,Silver / Black,308.0,Mid-Range Gaming,54.93827160493827
MSI MECH 2X OC,363.99,Radeon RX 6700 XT,12.0,2321.0,2321.0,Black / Silver,247.0,Mid-Range Gaming,63.18930041152263
NVIDIA Founders Edition,1911.98,GeForce RTX 4090,24.0,2230.0,2520.0,Black / Silver,304.0,High-End Gaming,82.71604938271605
XFX Speedster MERC 310 Black Edition,919.99,Radeon RX 7900 XTX,24.0,2300.0,2615.0,Black / Silver,344.0,High-End Gaming,84.6707818930041
Asus DUAL OC,354.0,GeForce RTX 3060 Ti,8.0,1410.0,1710.0,White,230.0,Mid-Range Gaming,45.47325102880659
Sapphire PULSE,319.99,Radeon RX 6700 XT,12.0,2321.0,2581.0,Black,260.0,Mid-Range Gaming,68.53909465020577
XFX Speedster SWFT 309,349.99,Radeon RX 6700 XT,12.0,2321.0,2581.0,Black,304.0,Mid-Range Gaming,68.53909465020577
MSI RX 6600 XT MECH 2X 8G OC,264.95,Radeon RX 6600 XT,8.0,1968.0,2602.0,Black / Silver,235.0,Budget Gaming,63.82716049382715
MSI GAMING X TRIO,814.99,GeForce RTX 4070 Ti,12.0,2310.0,2760.0,Black,337.0,Mid-Range Gaming,72.22222222222221
MSI GeForce RTX 3060 Gaming X12G,357.52,GeForce RTX 3060 12GB,12.0,1320.0,1837.0,Black / Silver,276.0,Mid-Range Gaming,53.23045267489711
